DATA,2__BAIRRO_ONDE_MORA,CIDADE_ONDE_MORA,3__COM_QUEM_VIVE,4__NATURAL_DE,ESTADO_NATURAL,5__HA_QUANTO_ANOS_EM_JOAO_PESSOA,6__VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,"6_1_SE_A_RESPOSTA_ACIMA_FOR_NAO,_O_QUE_VOCE_NAO_ENCONTROU",7__SENTIU_FALTA_DE_ALGUM_PRODUTO,"7_1_SE_A_RESPOSTA_ACIMA_FOR_SIM,_QUAL_PRODUTO_VOCE_SENTIU_FALTA",8__DO_QUE_MAIS_GOSTOU,9__QUANTO_COMPROU_DE_ARTESANATO_NA_FEIRA,10__COMPROU_PRINCIPALMENTE,10_1_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,11__DESTINO_DA_COMPRA,12__PRINCIPAL_MOTIVACAO_DA_COMPRA,13__VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,14__QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,15_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,16_QUAL_SUA_SUGESTAO_PARA_MELHORAR_OU_DIVERSIFICAR_O_ARTESANATO_PARAIBANO
2022-01-30 20:38:01.001,MANAIRA,JOÃO PESSOA,COM FAMÍLIA,CAMPINA GRANDE,PB,2.0,SIM,NAN,NÃO,NAN,ARTESANATO COM METAL,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,10.0,INVESTIMENTO PÚBLICO PARA INCENTIVAR O ARTESANATO
2022-01-30 20:42:19.560,BANCARIOS,JOÃO PESSOA,COM FAMÍLIA,SERRA REDONDA,PB,1.0,SIM,NAN,NÃO,NAN,PEÇAS DE CROCHÊ,0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,20.0,20.0,INCENTIVAR A VALORIZAÇÃO DO ARTESANATO
2022-01-30 20:47:44.350,CRUZ DAS ARMAS,JOÃO PESSOA,COM FAMÍLIA,SÃO PAULO,SP,9.0,SIM,NAN,SIM,"ITENS DE ALIMENTAÇÃO ( CERVEJA, MACAXEIRA, ETC)",ESCULTURA DE METAL,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,10.0,ABRIR A POSSIBLIDADE DE MAIS FEIRAS PARA MAIS ARTESÃOS ( NÃO CONHECIDOS)
2022-01-30 20:52:33.348,MANAIRA,JOÃO PESSOA,SOZINHO,RECIFE,PE,15.0,SIM,NAN,SIM,TRABALHO FEITO COM PEDRAS ( QUARTZO),MACRAMÊ,120.0,ARTESANATO TRADICIONAL,"PESSOAL, DECORAÇÃO, PRESENTE",USO PRÓPRIO,NOVIDADE,EVENTUAL OU OCASIONAL,20.0,16.0,DAR MAIS OPORTUNIDADE PARA OS ARTESÃOS ( CONHECE MUITOS ARTESÃOS QUE GOSTARIA DE TER PARTICIPADO DA FEIRA)
2022-01-30 21:01:20.960,BANCARIOS,JOÃO PESSOA,COM FAMÍLIA,ALAGOA GRANDE,PB,44.0,SIM,NAN,NÃO,NAN,"PEÇAS DE LABIRINTO ,PEÇAS DE CERÂMICA",300.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, PRESENTE, UTILITÁRIOS",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,20.0,18.0,MAIS DIVULGAÇÃO DAS FEIRAS
2022-01-30 21:10:05.768,JARDIM SAO PAULO,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,30.0,SIM,NAN,SIM,FONTE DE ÁGUA,MUITAS OPÇÕES DE PEÇAS  DE CROCHÊ,130.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,10.0,3.0,MAIS INCENTIVO PARA FEIRAS (GOSTARIA QUE TIVESSE FEIRAS COM MAIS FREQUÊNCIA)
2022-01-30 21:14:17.459,MANDACARU,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,17.0,SIM,NAN,NÃO,NAN,PEÇAS DE RECICLAGEM,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,5.0,1.0,( NÃO SABE)
2022-02-01 18:38:27.243,JARDIM OCEANIA,JOÃO PESSOA,COM FAMÍLIA,BOM SUCESSO,PB,40.0,SIM,NAN,NÃO,NAN,"TRABALHOS COM RENASCENÇA,CROCHÊ",50.0,ARTESANATO CONTEMPORÂNEO,PRESENTE,PRESENTE,BELEZA,FREQUENTE OU ASSÍDUO,40.0,20.0,MELHORAR O ATENDIMENTO
2022-02-01 18:44:22.334,MANDACARU,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,50.0,SIM,NAN,NÃO,NAN,"HABILIDADES MANUAIS ( MANDALAS COM AREIA), TRABALHOS COM CERÂMICA,",80.0,ARTESANATO CONTEMPORÂNEO,"PESSOAL, DECORAÇÃO, PRESENTE, UTILITÁRIOS",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,5.0,3.0,FAZER FEIRAS MAIS PRÓXIMAS AO CENTRO DA CIDADE
2022-02-01 18:56:54.087,BESSA,JOÃO PESSOA,COM FAMÍLIA,RIO GRANDE DO SUL,RS,12.0,SIM,NAN,NÃO,NAN,PEÇAS DE CERÂMICA,,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,15.0,15.0,INCENTIVAR O TRABALHO COM MATERIAL RECICLÁVEL RECOLHIDOS DA PRAIA.
