DATA,1_2_DE_ONDE_NOS_VISITA,ESTADO_ORIGEM,1_3_COM_QUEM_VEIO,1_4_NATURAL_DE,1_5_QUANTOS_DIAS_FICARA_EM_JOAO_PESSOA,1_6_VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,1_7_SENTIU_FALTA_DE_ALGUM_PRODUTO,1_8_DO_QUE_MAIS_GOSTOU,1_9_QUANTO_COMPROU_DE_ARTESANATO_NESSA_VIAGEM,1_10_COMPROU_PRINCIPALMENTE,1_11_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,1_12_DESTINO_DA_COMPRA,1_13_PRINCIPAL_MOTIVACAO_DA_COMPRA,1_14_VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,1_15_QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,1_16_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,1_17__O_QUE_MAIS_ADMIRA_NO_ARTESANATO_PARAIBANO
2022-01-30 20:55:30.764,ARAÇAGI,PB,COM A FAMÍLIA,GUARABIRA,7.0,SIM,NÃO,BISCUIT,150.0,ARTESANATO CONTEMPORÂNEO,DECORAÇÃO,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,ACABAMENTO DAS PEÇAS
2022-01-30 21:18:04.653,ACRE,AC,SOZINHO,ACRE,14.0,SIM,NAN,MESA EM MADEIRA,10.0,ARTESANATO TRADICIONAL,DECORAÇÃO,USO PRÓPRIO,PREÇO,EVENTUAL OU OCASIONAL,10.0,1.0,"BORDADOS, CROCHÊ,RENASCENÇA"
2022-01-30 21:22:15.331,ALAGOAS,AL,COM A FAMÍLIA,SÃO PAULO,30.0,SIM,NAO,DOCES,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,20.0,0.0,TRABALHO DE ACABAMENTO BEM FEITO
2022-01-30 21:25:24.818,CURITIBA,PB,COM A FAMÍLIA,SÃO JOSÉ DOS PINHAIS,3.0,SIM,CASTANHAS,"PEÇAS DE CROCHÊ,PEÇAS DE MADEIRA",240.0,ARTESANATO CONTEMPORÂNEO,"USO PESSOAL, PRESENTE",PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,20.0,0.0,ORGANIZAÇÃO
2022-01-30 21:30:14.955,CUIABÁ,MT,COM A FAMÍLIA,SÃO PAULO,13.0,SIM,ENXOVAL INFANTIL,TUDO,500.0,ARTESANATO TRADICIONAL,"USO PESSOAL, PRESENTE",PRESENTE,UTILIDADE,FREQUENTE OU ASSÍDUO,,,CRIATIVIDADE NO ARTESANATO COM FIOS
2022-02-01 18:50:53.042,SÃO PAULO,SP,COM COMPANHEIRO (A),JUDIAÍ,7.0,SIM,NAN,PEÇAS DE CERÂMICA,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,30.0,0.0,"BASTANTE ORGANIZADO, RICO EM DETALHES, FEIRA BEM ELABORADA."
2022-02-01 19:01:23.977,GOIÁS,GO,COM COMPANHEIRO (A),HEITORAIR,7.0,SIM,NAN,ARTESANATO COM PAPELÃO,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,5.0,0.0,TRABALHO COM COURO ( CHAPÉU )
2022-02-01 19:05:54.821,SÃO PAULO,SP,COM A FAMÍLIA,SÃO MIGUEL ARCANJO - SP,9.0,SIM,NAN,CROCHÊ,200.0,ARTESANATO TRADICIONAL,"USO PESSOAL, PRESENTE",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,15.0,0.0,"BELEZA, CRIATIVIDADE,CAPRICHO NO ACABAMENTO"
2022-02-01 19:12:34.677,BAHIA,BA,COM A FAMÍLIA,VITÓRIA DA CONQUISTA - BA,,NÃO,ARRANJOS DE CABELO,"LUMINÁRIA DE PVC , COMIDAS REGIONAIS",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,2.0,ITENS FEITOS COM ALGODÃO COLORIDO
2022-02-01 19:15:42.644,RONDÔNIA,RO,COM COMPANHEIRO (A),ACRE,3.0,SIM,NÃO,PANELAS DE BARRO,100.0,ARTESANATO TRADICIONAL,USO PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,3.0,1.0,"CUIDADO,DELICADEZA DO TRABALHO"
